no,name,category,chapter,search,search_alt,slug,group,match,url,license,credit,page
011,광개토대왕릉비,삼국,4,광개토대왕릉비,Gwanggaeto Stele,광개토대왕릉비,비석,광개토대왕릉비,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ab/Gwanggaeto_Stele_4.jpg/960px-Gwanggaeto_Stele_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,EditQ,https://commons.wikimedia.org/wiki/File:Gwanggaeto_Stele_4.jpg
012,충주 고구려비,삼국,4,충주 고구려비,Chungju Goguryeo Stele,충주_고구려비,비석,충주 고구려비,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/92/Chungju_Goguryeo_Monument_2025.jpg/960px-Chungju_Goguryeo_Monument_2025.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,Koreabook,https://commons.wikimedia.org/wiki/File:Chungju_Goguryeo_Monument_2025.jpg
013,단양 신라 적성비,삼국,5,단양 신라 적성비,Danyang Silla Jeokseong Stele,단양_신라_적성비,비석,단양 적성비,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3c/Danyang_Jeokseongbi_01.JPG/960px-Danyang_Jeokseongbi_01.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Lawinc82,https://commons.wikimedia.org/wiki/File:Danyang_Jeokseongbi_01.JPG
014,북한산 진흥왕 순수비,삼국,5,서울 북한산 신라 진흥왕 순수비,Bukhansan Jinheung Stele,북한산_진흥왕_순수비,비석,북한산 순수비,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/92/Silla_Period_Monument_from_Bukhansan_on_display_in_the_National_Museum_of_Korea.jpg/960px-Silla_Period_Monument_from_Bukhansan_on_display_in_the_National_Museum_of_Korea.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Ethan Doyle White,https://commons.wikimedia.org/wiki/File:Silla_Period_Monument_from_Bukhansan_on_display_in_the_National_Museum_of_Korea.jpg
015,임신서기석,삼국,8,임신서기석,Imsin Oath Stone,임신서기석,비석,임신서기석,,,,
016,사택지적비,삼국,8,부여 사택지적비,Sataekjijeok Stele,사택지적비,비석,사택지적비,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c9/%EC%82%AC%ED%83%9D%EC%A7%80%EC%A0%81%EB%B9%84.jpg/960px-%EC%82%AC%ED%83%9D%EC%A7%80%EC%A0%81%EB%B9%84.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Unknown author Unknown author,https://commons.wikimedia.org/wiki/File:%EC%82%AC%ED%83%9D%EC%A7%80%EC%A0%81%EB%B9%84.jpg
017,칠지도,삼국,5,칠지도,Chiljido seven-branched sword,칠지도,고대 공예,칠지도,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ee/Chiljido_Seven-Branched_Sword_%2829565944864%29.jpg/960px-Chiljido_Seven-Branched_Sword_%2829565944864%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,"Gary Todd from Xinzheng, China",https://commons.wikimedia.org/wiki/File:Chiljido_Seven-Branched_Sword_(29565944864).jpg
018,백제 금동대향로,삼국,8,백제 금동대향로,Baekje Gilt-bronze Incense Burner,백제_금동대향로,고대 공예,백제 금동 대향로,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/9b/Baekje_Gilt_Bronze_Incense_Burner%2C_6th-7th_Cent._%2830165906226%29.jpg/960px-Baekje_Gilt_Bronze_Incense_Burner%2C_6th-7th_Cent._%2830165906226%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,"Gary Todd from Xinzheng, China","https://commons.wikimedia.org/wiki/File:Baekje_Gilt_Bronze_Incense_Burner,_6th-7th_Cent._(30165906226).jpg"
019,산수무늬 벽돌,삼국,8,산수무늬벽돌 산수문전,Sansumun brick Baekje landscape tile,산수무늬_벽돌,고대 공예,,,,,
020,무령왕릉 내부,삼국,9,무령왕릉,Muryeong royal tomb Gongju,무령왕릉_내부,고분,무령왕릉,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/39/%EB%AC%B4%EB%A0%B9%EC%99%95%EB%A6%89_%EB%AA%A9%EA%B4%80_2024.jpg/960px-%EB%AC%B4%EB%A0%B9%EC%99%95%EB%A6%89_%EB%AA%A9%EA%B4%80_2024.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,ChongDae,https://commons.wikimedia.org/wiki/File:%EB%AC%B4%EB%A0%B9%EC%99%95%EB%A6%89_%EB%AA%A9%EA%B4%80_2024.jpg
021,무령왕 금제 관식,삼국,9,무령왕 금제관식,Muryeong gold crown ornament,무령왕_금제_관식,고대 공예,,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/46/Tbridge11.jpg/960px-Tbridge11.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 2.0,https://www.flickr.com/photos/davidtrowbridge/,https://commons.wikimedia.org/wiki/File:Tbridge11.jpg
022,무령왕릉 석수,삼국,9,무령왕릉 석수 진묘수,Muryeong tomb stone guardian jinmyosu,무령왕릉_석수,고대 공예,,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/%EB%AC%B4%EB%A0%B9%EC%99%95%EB%A6%89_%EC%84%9D%EC%88%98_2024.jpg/960px-%EB%AC%B4%EB%A0%B9%EC%99%95%EB%A6%89_%EC%84%9D%EC%88%98_2024.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY 4.0,ChongDae,https://commons.wikimedia.org/wiki/File:%EB%AC%B4%EB%A0%B9%EC%99%95%EB%A6%89_%EC%84%9D%EC%88%98_2024.jpg
023,신라 금관,삼국,9,천마총 금관,Silla gold crown,신라_금관,고대 공예,,https://thumb.wikimedia.org/wikipedia/commons/thumb/8/80/Gold_Crown_of_Silla_Kingdom_01a.jpg/960px-Gold_Crown_of_Silla_Kingdom_01a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,Gary Todd,https://commons.wikimedia.org/wiki/File:Gold_Crown_of_Silla_Kingdom_01a.jpg
024,천마도 장니,삼국,9,천마총 천마도 장니,Cheonmachong heavenly horse painting,천마도_장니,고분,천마총,https://upload.wikimedia.org/wikipedia/commons/b/b1/Korea-Silla-Cheonmado-02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,Public domain,Unknown author Unknown author,https://commons.wikimedia.org/wiki/File:Korea-Silla-Cheonmado-02.jpg
025,호우명 그릇,삼국,9,호우명 그릇,Houmyeong bowl Gyeongju,호우명_그릇,고대 공예,호우명 그릇,https://upload.wikimedia.org/wikipedia/commons/a/ae/Bronze_Bowl_with_Inscription_of_%22Ho-u%22_from_Gyeongju%2C_Korea.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 3.0,Eggmoon,"https://commons.wikimedia.org/wiki/File:Bronze_Bowl_with_Inscription_of_%22Ho-u%22_from_Gyeongju,_Korea.jpg"
026,고령 지산동 금동관,삼국,4,고령 지산동 금동관,Jisan-dong gilt bronze crown Goryeong,고령_지산동_금동관,고대 공예,,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7c/%EA%B3%A0%EB%A0%B9_%EC%A7%80%EC%82%B0%EB%8F%99_32%ED%98%B8%EB%B6%84_%EC%B6%9C%ED%86%A0_%EA%B8%88%EB%8F%99%EA%B4%80.jpg/960px-%EA%B3%A0%EB%A0%B9_%EC%A7%80%EC%82%B0%EB%8F%99_32%ED%98%B8%EB%B6%84_%EC%B6%9C%ED%86%A0_%EA%B8%88%EB%8F%99%EA%B4%80.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Korea Heritage Service,https://commons.wikimedia.org/wiki/File:%EA%B3%A0%EB%A0%B9_%EC%A7%80%EC%82%B0%EB%8F%99_32%ED%98%B8%EB%B6%84_%EC%B6%9C%ED%86%A0_%EA%B8%88%EB%8F%99%EA%B4%80.jpg
027,가야 판갑옷과 투구,삼국,4,가야 판갑옷 투구,Gaya iron armor helmet,가야_판갑옷과_투구,고대 공예,,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0a/Gaya_Confederacy_Iron_Armor_%26_Helmet.jpg/960px-Gaya_Confederacy_Iron_Armor_%26_Helmet.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,"Gary Lee Todd, Ph.D.",https://commons.wikimedia.org/wiki/File:Gaya_Confederacy_Iron_Armor_%26_Helmet.jpg
028,덩이쇠,삼국,4,가야 덩이쇠 철정,deonggise iron ingot Gaya,덩이쇠,고대 공예,,,,,
029,무용총 수렵도,삼국,9,무용총 수렵도,Muyongchong hunting mural,무용총_수렵도,고분,무용총,,,,
030,강서대묘 사신도,삼국,9,강서대묘 현무도,Gangseo Daemyo four guardian mural,강서대묘_사신도,고분,강서대묘,,,,
031,금동 연가 7년명 여래 입상,고대문화,9,금동연가7년명여래입상,Gilt-bronze Buddha Yeonga 7th year,금동_연가_7년명_여래_입상,불상,금동 연가 7년명 여래 입상,https://upload.wikimedia.org/wikipedia/commons/0/0e/%EA%B8%88%EB%8F%99%EC%97%B0%EA%B0%807%EB%85%84%EB%AA%85%EC%97%AC%EB%9E%98%EC%9E%85%EC%83%81.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,CC BY-SA 2.0,ddol-mang (a flickr user),https://commons.wikimedia.org/wiki/File:%EA%B8%88%EB%8F%99%EC%97%B0%EA%B0%807%EB%85%84%EB%AA%85%EC%97%AC%EB%9E%98%EC%9E%85%EC%83%81.jpg
032,금동 미륵보살 반가 사유상,고대문화,9,금동미륵보살반가사유상 국보83호,Pensive Bodhisattva gilt bronze Korea,금동_미륵보살_반가_사유상,불상,금동 미륵보살 반가 사유상,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/07/%EA%B8%88%EB%8F%99%EB%AF%B8%EB%A5%B5%EB%B3%B4%EC%82%B4%EB%B0%98%EA%B0%80%EC%82%AC%EC%9C%A0%EC%83%81_%28%EA%B5%AD%EB%B3%B4_%EC%A0%9C83%ED%98%B8%29.jpg/960px-%EA%B8%88%EB%8F%99%EB%AF%B8%EB%A5%B5%EB%B3%B4%EC%82%B4%EB%B0%98%EA%B0%80%EC%82%AC%EC%9C%A0%EC%83%81_%28%EA%B5%AD%EB%B3%B4_%EC%A0%9C83%ED%98%B8%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Eggmoon,https://commons.wikimedia.org/wiki/File:%EA%B8%88%EB%8F%99%EB%AF%B8%EB%A5%B5%EB%B3%B4%EC%82%B4%EB%B0%98%EA%B0%80%EC%82%AC%EC%9C%A0%EC%83%81_(%EA%B5%AD%EB%B3%B4_%EC%A0%9C83%ED%98%B8).jpg
033,서산 용현리 마애여래 삼존상,고대문화,9,서산 용현리 마애여래삼존상,Seosan Rock-carved Buddha Triad,서산_용현리_마애여래_삼존상,불상,서산 용현리 마애여래 삼존상,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a8/%EC%9A%A9%ED%98%84%EB%A6%AC_%EB%A7%88%EC%95%A0%EC%97%AC%EB%9E%98%EC%82%BC%EC%A1%B4%EC%83%81.jpg/960px-%EC%9A%A9%ED%98%84%EB%A6%AC_%EB%A7%88%EC%95%A0%EC%97%AC%EB%9E%98%EC%82%BC%EC%A1%B4%EC%83%81.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Kwkhh,https://commons.wikimedia.org/wiki/File:%EC%9A%A9%ED%98%84%EB%A6%AC_%EB%A7%88%EC%95%A0%EC%97%AC%EB%9E%98%EC%82%BC%EC%A1%B4%EC%83%81.jpg
034,석굴암 본존불,고대문화,9,석굴암 본존불,Seokguram Buddha,석굴암_본존불,불상,석굴암 본존불,,,,
035,발해 이불병좌상,고대문화,9,발해 이불병좌상,Balhae twin Buddha statue,발해_이불병좌상,불상,이불병좌상,,,,
036,익산 미륵사지 석탑,고대문화,9,익산 미륵사지 석탑,Mireuksa stone pagoda Iksan,익산_미륵사지_석탑,석탑,익산 미륵사지 석탑,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/47/%EC%9D%B5%EC%82%B0_%EB%AF%B8%EB%A5%B5%EC%82%AC%EC%A7%80_%EC%84%9D%ED%83%91.jpg/960px-%EC%9D%B5%EC%82%B0_%EB%AF%B8%EB%A5%B5%EC%82%AC%EC%A7%80_%EC%84%9D%ED%83%91.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Unknown author Unknown author,https://commons.wikimedia.org/wiki/File:%EC%9D%B5%EC%82%B0_%EB%AF%B8%EB%A5%B5%EC%82%AC%EC%A7%80_%EC%84%9D%ED%83%91.jpg
037,부여 정림사지 5층 석탑,고대문화,9,부여 정림사지 오층석탑,Jeongnimsa five story stone pagoda,부여_정림사지_5층_석탑,석탑,부여 정림사지 5층 석탑,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3a/Jeongnimsa_Temple_02.jpg/960px-Jeongnimsa_Temple_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,Bernard Gagnon,https://commons.wikimedia.org/wiki/File:Jeongnimsa_Temple_02.jpg
038,분황사 모전석탑,고대문화,9,경주 분황사 모전석탑,Bunhwangsa stone pagoda,분황사_모전석탑,석탑,분황사 모전석탑,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fe/%EB%B6%84%ED%99%A9%EC%82%AC_%EB%AA%A8%EC%A0%84%EC%84%9D%ED%83%91.jpg/960px-%EB%B6%84%ED%99%A9%EC%82%AC_%EB%AA%A8%EC%A0%84%EC%84%9D%ED%83%91.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Ronnie Dayo,https://commons.wikimedia.org/wiki/File:%EB%B6%84%ED%99%A9%EC%82%AC_%EB%AA%A8%EC%A0%84%EC%84%9D%ED%83%91.jpg
039,감은사지 3층 석탑,고대문화,9,경주 감은사지 삼층석탑,Gameunsa three story stone pagoda,감은사지_3층_석탑,석탑,감은사지 3층 석탑,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/eb/%EA%B0%90%EC%9D%80%EC%82%AC%EC%A7%80_blue_sky.jpg/960px-%EA%B0%90%EC%9D%80%EC%82%AC%EC%A7%80_blue_sky.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Ronnie Dayo,https://commons.wikimedia.org/wiki/File:%EA%B0%90%EC%9D%80%EC%82%AC%EC%A7%80_blue_sky.jpg
040,불국사 3층 석탑과 다보탑,고대문화,9,불국사 삼층석탑 다보탑,Dabotap Bulguksa,불국사_3층_석탑과_다보탑,석탑,다보탑,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f3/Bulguksa_Dabotap_%28South_Korea%29_001.jpg/960px-Bulguksa_Dabotap_%28South_Korea%29_001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 3.0,Leonard J. DeFrancisci,https://commons.wikimedia.org/wiki/File:Bulguksa_Dabotap_(South_Korea)_001.jpg
041,쌍봉사 철감선사 승탑,고대문화,8,화순 쌍봉사 철감선사탑,Ssangbongsa Cheolgam stupa,쌍봉사_철감선사_승탑,석탑,,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c9/%EC%8C%8D%EB%B4%89%EC%82%AC_%EC%B2%A0%EA%B0%90%EC%84%A0%EC%82%AC%ED%83%91.jpg/960px-%EC%8C%8D%EB%B4%89%EC%82%AC_%EC%B2%A0%EA%B0%90%EC%84%A0%EC%82%AC%ED%83%91.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Unknown author Unknown author,https://commons.wikimedia.org/wiki/File:%EC%8C%8D%EB%B4%89%EC%82%AC_%EC%B2%A0%EA%B0%90%EC%84%A0%EC%82%AC%ED%83%91.jpg
042,경주 첨성대,고대문화,8,경주 첨성대,Cheomseongdae Gyeongju,경주_첨성대,건축,첨성대,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/Cheomseongdae_Observatory_%28%EA%B2%BD%EC%A3%BC_%EC%B2%A8%EC%84%B1%EB%8C%80%29_1.jpg/960px-Cheomseongdae_Observatory_%28%EA%B2%BD%EC%A3%BC_%EC%B2%A8%EC%84%B1%EB%8C%80%29_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Kouz14,https://commons.wikimedia.org/wiki/File:Cheomseongdae_Observatory_(%EA%B2%BD%EC%A3%BC_%EC%B2%A8%EC%84%B1%EB%8C%80)_1.jpg
043,성덕대왕 신종,고대문화,9,성덕대왕신종,Divine Bell of King Seongdeok,성덕대왕_신종,고대 공예,성덕대왕 신종,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b2/Apsara_relief._Bell_of_King_Seongdeok.National_Museum_of_Gyeongju.Korea.2018.P1410600.jpg/960px-Apsara_relief._Bell_of_King_Seongdeok.National_Museum_of_Gyeongju.Korea.2018.P1410600.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Josep Panadero,https://commons.wikimedia.org/wiki/File:Apsara_relief._Bell_of_King_Seongdeok.National_Museum_of_Gyeongju.Korea.2018.P1410600.jpg
044,무구정광대다라니경,고대문화,8,무구정광대다라니경,Mugujeonggwang Great Dharani Sutra,무구정광대다라니경,기록물,무구정광대다라니경,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/4a/Dharani_sutra.jpg/960px-Dharani_sutra.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,Public domain,Naturehead,https://commons.wikimedia.org/wiki/File:Dharani_sutra.jpg
045,관촉사 석조미륵보살입상,고려,15,논산 관촉사 석조미륵보살입상,Gwanchoksa stone Buddha Nonsan,관촉사_석조미륵보살입상,불상,논산 관촉사 석조 미륵보살 입상,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ce/%EA%B4%80%EC%B4%89%EC%82%AC_%EC%84%9D%EC%A1%B0%EB%AF%B8%EB%A5%B5%EB%B3%B4%EC%82%B4%EC%9E%85%EC%83%81.jpg/960px-%EA%B4%80%EC%B4%89%EC%82%AC_%EC%84%9D%EC%A1%B0%EB%AF%B8%EB%A5%B5%EB%B3%B4%EC%82%B4%EC%9E%85%EC%83%81.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Kwkhh,https://commons.wikimedia.org/wiki/File:%EA%B4%80%EC%B4%89%EC%82%AC_%EC%84%9D%EC%A1%B0%EB%AF%B8%EB%A5%B5%EB%B3%B4%EC%82%B4%EC%9E%85%EC%83%81.jpg
046,하사창동 철조석가여래좌상,고려,15,하남 하사창동 철조석가여래좌상,Iron Seated Sakyamuni Hasachang-dong,하사창동_철조석가여래좌상,불상,하남 하사창동 철조 석가여래 좌상,https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/%EC%B2%A0%EC%A1%B0%EC%84%9D%EA%B0%80%EB%B6%88%EC%A2%8C%EC%83%81.jpg/960px-%EC%B2%A0%EC%A1%B0%EC%84%9D%EA%B0%80%EB%B6%88%EC%A2%8C%EC%83%81.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC BY-SA 4.0,Korea Heritage Service / National Museum of Korea,https://commons.wikimedia.org/wiki/File:%EC%B2%A0%EC%A1%B0%EC%84%9D%EA%B0%80%EB%B6%88%EC%A2%8C%EC%83%81.jpg
047,부석사 소조여래좌상,고려,15,영주 부석사 소조여래좌상,Buseoksa clay seated Buddha,부석사_소조여래좌상,불상,영주 부석사 소조여래 좌상,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/Clay_Seated_Buddha_of_Buseoksa_02.jpg/960px-Clay_Seated_Buddha_of_Buseoksa_02.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,CC0,Bernard Gagnon,https://commons.wikimedia.org/wiki/File:Clay_Seated_Buddha_of_Buseoksa_02.jpg
